,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40,Beam Energy,Particle,Layer At Peak Value_1-28,Layer At Peak Value_29-40,Energy At Peak Value_1-28,Energy At Peak Value_28_40
410,1.05216,1.99431,1.32962,0.707926,2.65745,1.77776,0.990856,1.06548,1.08765,0.618309,0.818491,1.42661,2.11972,9.26473,1.04548,8.4582,4.02934,0.953813,2.00883,1.43903,1.03121,1.01256,1.06901,1.23932,1.87837,2.87087,5.74546,4.01506,3.94269,1.86401,2.67391,5.90338,13.0239,6.54162,20.0252,15.2891,3.29585,1.91267,0.993613,1.03188,200,muon,14,7,9.26473,20.0252
411,1.08393,2.06902,0.842574,1.8947,1.09803,1.06665,1.01705,1.20176,1.12205,0.919638,0.984361,0.833907,1.2886,1.77543,14.2963,14.7819,2.23365,0.983551,0.545478,1.17504,2.94923,1.19327,0.85101,0.835153,6.35285,1.20715,4.09986,5.69024,11.4656,3.02678,5.52032,11.1998,18.0911,7.29457,6.45072,8.40399,4.18228,1.25222,1.67591,0.809024,200,muon,16,5,14.7819,18.0911
412,0.956238,2.04224,1.33953,1.05757,1.05454,1.332,0.0,0.71101,0.95468,1.05851,0.996882,1.11536,5.81756,1.23026,3.96976,4.44528,3.47734,0.727954,0.858165,1.10647,1.1793,1.97387,1.58586,1.15417,1.18011,0.869166,5.12598,4.42437,5.07962,9.14898,2.89053,5.43183,11.0098,8.17738,4.57914,2.58272,4.38613,0.953497,0.0,0.0,200,muon,13,5,5.81756,11.0098
413,0.778789,2.04348,0.924199,1.03588,0.974438,1.0862,2.32086,6.32489,8.35328,6.56066,13.6624,3.22855,13.0345,29.4742,24.103,4.5256,12.9029,0.663155,3.64576,1.10161,1.90692,1.83325,0.831153,2.43456,2.41201,0.891841,3.25332,1.81636,3.59869,3.03095,2.20122,2.8781,13.1314,4.15466,9.93601,11.5883,10.2806,0.904293,0.0,0.0,200,muon,14,5,29.4742,13.1314
414,6.45794,1.11348,0.992259,2.39189,0.984346,0.982704,2.0018,0.82995,2.55535,1.58745,1.23677,2.32885,0.947666,1.51299,1.22237,0.898466,0.711446,1.07422,19.3233,2.88167,1.61299,1.31446,1.24854,1.08758,1.12051,2.3103,4.04729,2.06303,4.61321,5.36316,1.47699,9.47516,9.93862,3.26548,13.9383,6.13161,9.33366,2.09458,1.11202,99.5492,200,muon,19,12,19.3233,99.5492
415,0.0,1.14806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61012,0.0,0.0,0.0,0.0,0.0,1.56833,0.0,0.0,0.0,0.0,0.0,4.83291,1.16108,4.24751,3.4218,0.819805,6.33265,15.1419,6.0486,7.79324,8.41103,5.70289,0.0,0.0,0.0,200,muon,27,5,4.83291,15.1419
416,0.0,1.0703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438304,0.0,0.0,0.0,0.0,0.722726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43922,0.916579,3.0131,2.48469,2.4785,4.59041,4.22883,6.692,15.8592,6.38436,4.14274,7.21084,7.92208,3.53877,1.22855,2.09583,200,muon,27,5,3.0131,15.8592
417,1.45077,1.02536,1.02251,0.655904,2.14142,0.767849,1.89435,1.053,1.55741,0.99025,1.65703,2.00621,2.36784,2.56677,0.734023,1.02771,1.0264,0.848383,13.6717,0.897766,3.28105,2.7324,2.30688,0.827069,4.52378,2.50609,2.90229,4.25406,12.9289,4.67144,8.51511,11.8707,7.71329,7.76648,14.5455,7.11785,6.33482,7.30275,2.867,1.37936,200,muon,19,7,13.6717,14.5455
418,1.99145,0.891754,0.700038,1.64581,1.91336,0.764927,1.37738,0.986649,4.16784,10.2901,1.9414,2.46062,2.15316,0.929457,1.06301,1.14525,1.47687,0.790425,12.6191,1.20929,1.51967,10.6185,4.35345,1.01147,0.705894,8.12023,2.53938,1.67012,4.72456,2.90148,0.966026,0.989105,9.21758,6.72556,18.1663,8.22028,9.6643,0.644187,1.00523,0.907851,200,muon,19,7,12.6191,18.1663
419,3.48444,1.7061,2.11164,1.27048,1.54613,0.961255,0.946541,1.56669,0.742107,1.37238,2.33605,5.70285,1.67604,1.15546,1.06634,1.13117,0.733793,8.84049,0.946372,1.11379,2.30137,1.10677,0.782283,0.945588,1.13057,4.44011,4.58893,6.02046,4.183,2.30744,1.21323,3.80598,14.9604,2.21408,13.1002,12.1789,15.0072,0.882543,2.40851,1.26303,200,muon,18,9,8.84049,15.0072
