,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40,Beam Energy,Particle
358,63.5609,103.656,96.3918,121.904,136.527,93.7828,126.997,70.0774,59.7509,87.639,37.0229,22.3199,49.7548,10.8597,16.0165,15.2548,11.1603,2.85838,13.6327,0.0,0.0,0.0,0.0,1.33062,1.85887,0.462871,5.55129,5.30385,10.3556,25.9166,16.0764,3.3727,8.16203,4.64785,5.07827,5.5571,7.55338,1.27569,0.500355,0.485769,L,pion
359,0.869418,0.875884,2.62629,12.2764,7.25122,246.2,94.7837,75.6962,78.1533,103.896,78.0735,29.9296,39.5959,12.3957,23.4153,11.5357,3.20914,6.01113,44.6593,0.945328,0.0,0.0,0.0,0.0,1.0797,1.4015,3.03737,1.59014,4.39559,8.6982,2.7569,4.26152,3.38076,4.32013,8.82299,9.00164,3.08563,0.0,0.0,0.550001,L,pion
360,0.84543,1.86559,8.59545,79.9863,21.4649,11.5758,61.2621,42.6111,90.9662,9.16495,3.51348,20.9048,21.8579,16.1829,29.3048,35.1565,37.2522,164.342,20.4503,19.0144,6.46613,11.4619,22.3943,13.6619,22.7794,4.04295,6.44457,10.3286,11.7287,18.9752,2.19364,3.97868,12.2537,7.43441,13.138,7.46246,4.57422,1.94145,0.0,0.0,L,pion
361,1.09398,2.13423,0.943169,0.969044,0.893377,0.922031,2.8617,8.13339,339.875,30.6886,16.7822,12.4708,37.4815,73.8197,16.3204,66.8984,32.4377,12.4333,18.422,11.0158,4.71467,1.18238,1.82849,1.90366,3.34587,2.54951,6.06585,5.83781,57.9606,8.45581,10.6317,6.70466,16.3174,16.2886,16.7855,11.5698,10.6778,1.08426,0.0,0.0,L,pion
362,0.883757,2.74203,1.86242,1.1124,1.1055,1.34791,1.14339,1.07755,1.00734,1.20449,1.15042,1.38924,2.45685,2.05718,2.5883,1.04201,1.14628,0.974729,1.18984,1.14945,1.39278,1.43525,1.2253,1.15017,2.35424,1.84899,2.41585,4.11934,2.93228,5.2618,0.830122,12.1269,10.7794,5.71147,42.3814,84.2434,139.541,73.3122,19.1201,5.7116,L,pion
363,1.01008,0.990734,0.776848,4.21678,0.692713,1.07506,1.31255,9.79683,21.3184,80.7561,87.5651,87.5269,27.6026,63.7769,68.7127,50.3263,28.9584,31.0725,48.0421,13.5905,11.9365,2.47247,3.03064,4.42797,4.74156,0.897989,4.77827,3.58247,0.0,3.88828,1.00509,13.7403,6.62499,3.38716,4.97764,4.36025,5.67124,0.0,0.0,1.76826,L,pion
364,1.09139,1.07354,1.07601,2.16139,0.632154,0.967965,0.83494,0.754126,1.82725,1.18941,0.964288,0.888352,0.952605,0.949983,1.33064,0.887475,1.22749,2.65515,15.8839,1.25629,1.15436,0.972301,1.39114,0.782909,13.6146,150.226,86.3988,72.484,55.6331,50.2001,58.9183,60.3942,15.5968,8.26821,8.45249,4.52382,11.4146,0.0,0.0,0.513848,L,pion
365,0.937261,0.884639,0.976355,1.00036,1.23483,0.993163,1.15,1.02024,1.15412,1.0562,2.26734,0.914376,1.1557,1.17162,0.908893,1.38489,1.90047,3.40843,15.0302,2.42999,0.987779,1.01038,0.891054,3.85628,2.79832,0.992551,3.46636,2.79556,9.34758,4.97989,8.56186,67.5796,30.7552,21.7456,17.1698,10.8362,10.2227,0.759514,0.0,0.412954,L,pion
366,2.18868,2.21614,1.31538,1.84342,6.77207,1.84735,1.2527,1.41224,1.38888,1.44533,1.21402,2.27826,0.838908,0.86079,1.76241,3.59198,1.90049,1.13461,17.9546,1.1954,0.922573,0.81972,0.794145,1.63249,3.65104,0.906773,5.15275,3.40673,17.0533,137.437,70.6949,31.2364,21.7396,27.2601,9.07641,5.02042,3.2155,1.04864,0.0,0.0,L,pion
367,1.08007,5.42521,0.724203,1.01332,191.955,124.809,23.9797,23.829,23.2705,20.3568,18.2641,21.8841,30.4984,64.4238,61.8928,8.13712,5.59067,18.3233,36.6785,7.54517,226.394,3.33148,8.06867,3.42565,4.41468,2.83327,6.1928,6.25799,3.99758,1.91599,4.14563,45.2327,36.3264,8.00974,7.41408,3.00791,6.6982,0.955504,0.0,0.0,L,pion
368,1.11404,1.92582,0.932037,1.01423,3.89621,0.987247,0.951903,1.34754,1.22414,37.7574,3.26125,3.81539,2.89682,3.1865,7.11308,2.09926,3.72472,3.05221,15.9536,11.1528,3.28141,2.90769,5.91781,3.41578,4.03096,2.01908,7.56072,3.50874,40.394,21.9793,27.5461,24.0391,26.732,30.1232,16.3317,6.87032,4.4826,1.8942,0.0,0.0,L,pion
369,1.00735,2.19162,1.59336,0.77075,0.79119,2.02079,0.889629,1.14311,1.3871,3.76861,2.0135,1.04486,1.26141,0.671818,0.719724,1.42763,4.87594,7.62846,15.1624,5.42799,12.0422,29.2454,101.592,101.95,139.99,128.523,107.146,36.2745,31.6156,12.5509,10.1806,5.68344,6.18224,7.97712,8.07796,6.31786,7.27816,1.14077,0.0,0.462965,L,pion
370,1.1231,1.2574,1.15914,2.11227,1.2106,1.53778,0.0,0.96862,1.13262,2.00417,3.80326,0.983389,0.968226,1.68398,2.35352,2.52237,0.767926,1.23777,15.3864,1.09904,4.98552,0.762726,0.876743,0.814596,0.892579,0.831736,1.7733,1.42505,3.01566,4.10876,44.9331,35.649,41.488,140.663,22.4931,7.72553,8.40774,0.487272,0.0,1.48194,L,pion
371,1.13604,0.810765,1.41483,0.784294,1.15513,1.09669,1.18343,1.29608,1.2773,3.11148,1.59586,0.732034,1.37891,1.00833,0.892788,1.24789,2.93346,1.1601,0.977018,1.50153,1.09207,1.07074,1.02912,1.24357,1.54899,1.10954,3.35497,2.41758,4.62461,6.41994,5.47278,1.342,43.4533,76.6822,49.9977,31.846,30.0521,0.933445,13.3332,1.23496,L,pion
372,35.2721,63.4914,28.1528,65.4022,68.6078,26.9637,43.3754,27.0024,48.0433,22.6902,34.604,19.067,3.1625,8.39176,2.59634,0.0,0.0,0.0,0.0,0.889275,18.8737,2.41394,3.62143,0.0,0.0,1.00089,1.91,3.77979,4.00745,1.15818,1.27277,1.28357,15.1844,5.07746,9.10562,25.3836,7.87963,1.19485,0.0,15.1871,L,pion
373,1.09441,16.5885,6.71922,6.92268,7.89243,5.10076,1.85947,1.59244,2.17341,1.81806,2.05551,2.26815,5.87895,1.69475,4.22156,2.33245,3.47293,2.90086,23.078,3.40447,3.7513,2.88839,6.84042,3.83125,6.0914,4.51372,5.85434,18.3228,5.4223,4.49618,31.8885,42.3889,39.1132,15.9498,7.0363,10.0669,9.78713,1.30098,0.0,0.0,L,pion
374,0.828287,6.31264,30.0797,68.308,44.2584,511.353,81.6694,60.7962,64.4715,24.9508,42.6415,123.281,8.88905,43.9658,8.12948,10.7865,7.01348,8.5237,24.4631,3.46974,4.10512,3.85814,5.54814,6.1398,6.53676,4.44735,6.16353,3.73963,43.8127,2.53283,6.77368,16.0918,7.67216,5.41289,7.38145,8.69731,9.93921,0.966659,0.0,0.0,L,pion
375,0.880713,1.08242,1.02895,1.05789,1.15155,1.26093,1.33203,0.66072,0.931025,2.25022,2.05639,0.991677,1.59381,0.732914,9.71766,5.71846,1.08537,0.867807,18.0149,0.852561,1.44362,6.35083,9.75335,2.28529,1.87432,2.45295,2.67215,2.9019,1.44288,5.97133,14.3904,134.643,66.3497,43.2464,22.0265,23.7806,3.14816,0.0,0.0,0.41613,L,pion
376,1.27531,2.42412,1.00159,3.12617,1.1343,21.8008,41.9498,33.9885,53.3889,91.7822,76.5646,79.5156,50.0976,44.4131,30.288,16.3806,77.1073,22.2032,53.0419,5.94519,13.2216,10.6321,4.81428,5.66488,10.5072,3.52758,5.35572,3.12104,13.607,8.32033,15.1175,2.75923,7.02278,7.91343,5.24606,3.57771,7.06701,1.24992,0.0,0.0,L,pion
377,8.85342,61.8029,38.3895,90.5854,127.959,84.3854,157.153,28.5444,45.9652,17.2751,14.8024,16.9225,8.39274,2.52735,0.0,6.22424,4.20396,6.6116,0.0,0.0,0.0,0.0,0.616614,0.51141,1.18642,0.822825,3.13052,2.51917,2.36198,6.01059,12.024,3.04278,9.74029,2.61185,5.3581,12.2747,3.99019,0.0,0.0,0.632424,L,pion
378,0.999376,1.06114,1.80122,0.953743,6.66425,1.76298,1.69476,1.57891,0.685211,1.85403,1.1719,40.9668,4.61501,10.3124,14.5131,42.3473,85.9311,121.994,160.615,130.307,168.52,101.53,82.4782,24.4966,66.3659,22.4258,74.0924,5.95712,10.378,2.48631,5.47684,6.07807,11.0103,6.10465,8.69503,11.4132,10.2951,1.23168,2.8978,0.738453,L,pion
379,1.10515,0.941564,1.01835,1.04373,1.35611,2.05503,1.31774,0.895159,0.74918,1.97754,1.2589,0.893788,0.671888,1.17111,1.01898,0.795795,1.04142,0.945973,15.5295,1.42909,0.81546,0.84696,3.00604,1.44179,0.923526,2.27892,2.67628,2.4334,1.27642,2.19562,22.1908,3.81332,11.0318,16.0531,68.9995,32.9444,26.1213,2.50586,6.74671,0.0,L,pion
380,1.21995,1.65989,1.45724,0.908677,1.19032,2.07311,1.2547,1.32768,0.890451,0.730703,0.752963,2.34898,1.11585,2.33074,1.01048,1.41017,3.18935,0.890108,14.6539,1.27299,1.08139,6.37031,13.4736,2.78269,5.34536,2.96889,8.11819,4.64142,64.6725,24.7904,11.5117,10.4135,10.1465,28.6894,28.4844,4.80995,5.45724,0.991411,0.0,0.0,L,pion
